created_at,entry_id,field1,field2,field3
2022-08-23 08:49:30 UTC,528,30.3515,76.3625,13.00000
2022-08-23 08:51:17 UTC,529,30.3519,76.3623,12.00000
2022-08-23 08:52:33 UTC,530,30.351848,76.362070,5.00000
2022-08-23 08:52:49 UTC,531,30.351801,76.362218,5.00000
2022-08-23 08:53:04 UTC,532,30.351801,76.362218,9.00000
2022-08-23 08:53:20 UTC,533,30.351855,76.362377,42.00000
2022-08-23 08:53:39 UTC,534,30.351808,76.362494,22.00000
2022-08-23 08:54:01 UTC,535,30.351815,76.362479,25.00000
2022-08-23 08:54:17 UTC,536,30.351807,76.362467,10.00000
2022-08-23 08:54:32 UTC,537,30.351774,76.362511,10.00000
2022-08-23 11:11:32 UTC,538,30.351198,76.362785,16.00000
2022-08-23 11:11:53 UTC,539,30.351188,76.362752,39.00000
2022-08-23 11:12:09 UTC,540,30.351178,76.362749,39.00000
2022-08-23 11:12:24 UTC,541,30.351189,76.362735,39.00000
2022-08-23 11:12:44 UTC,542,30.351227,76.362668,21.00000
2022-08-23 11:14:09 UTC,543,30.351157,76.362849,39.00000
2022-08-23 11:14:27 UTC,544,30.351190,76.362750,36.00000
2022-08-23 11:14:46 UTC,545,30.351195,76.362733,35.00000
2022-08-23 11:15:05 UTC,546,30.351193,76.362739,25.00000
2022-08-23 11:15:24 UTC,547,30.351220,76.362619,24.00000
2022-08-23 11:15:42 UTC,548,30.351218,76.362632,43.00000
2022-08-23 11:16:00 UTC,549,30.351217,76.362625,42.00000
2022-08-23 11:16:18 UTC,550,30.351217,76.362623,47.00000
2022-08-23 11:16:39 UTC,551,30.351213,76.362619,27.00000
2022-08-23 11:18:28 UTC,552,30.351179,76.362602,41.00000
2022-08-23 11:19:00 UTC,553,30.351186,76.362628,41.00000
2022-08-23 11:19:16 UTC,554,30.351251,76.362362,42.00000
2022-08-23 11:19:39 UTC,555,30.351016,76.362195,41.00000
2022-08-23 11:20:47 UTC,556,30.350995,76.364283,41.00000
2022-08-23 11:21:19 UTC,557,30.351109,76.365421,42.00000
2022-08-23 11:21:41 UTC,558,30.351064,76.366397,41.00000
2022-08-23 11:21:57 UTC,559,30.351152,76.366793,41.00000
2022-08-23 11:22:17 UTC,560,30.351289,76.367467,41.00000
2022-08-23 11:22:33 UTC,561,30.351367,76.368136,41.00000
2022-08-23 11:22:48 UTC,562,30.351421,76.368624,41.00000
2022-08-23 11:23:06 UTC,563,30.351510,76.369388,41.00000
2022-08-23 11:23:23 UTC,564,30.351611,76.369829,41.00000
2022-08-23 11:23:39 UTC,565,30.351771,76.370342,43.00000
2022-08-23 11:23:58 UTC,566,30.351871,76.371012,41.00000
2022-08-23 11:24:25 UTC,567,30.351894,76.372290,42.00000
2022-08-23 11:24:40 UTC,568,30.352045,76.372926,41.00000
2022-08-23 11:24:59 UTC,569,30.352044,76.372606,42.00000
2022-08-23 11:25:19 UTC,570,30.351882,76.371911,41.00000
2022-08-23 11:25:36 UTC,571,30.351783,76.371128,41.00000
2022-08-23 11:26:36 UTC,572,30.351829,76.370646,43.00000
2022-08-23 11:27:16 UTC,573,30.351740,76.370614,41.00000
2022-08-23 11:27:55 UTC,574,30.351705,76.370550,7.00000
2022-08-23 11:28:12 UTC,575,30.351702,76.370638,7.00000
2022-08-23 11:28:29 UTC,576,30.351716,76.370632,7.00000
2022-08-23 11:29:33 UTC,577,30.351734,76.370581,40.00000
2022-08-23 11:29:50 UTC,578,30.351776,76.370591,39.00000
2022-08-23 11:30:08 UTC,579,30.351837,76.370590,39.00000
2022-08-23 11:30:26 UTC,580,30.351852,76.370585,40.00000
2022-08-23 11:31:38 UTC,581,30.351779,76.371036,8.00000
2022-08-23 11:32:09 UTC,582,30.351795,76.370580,38.00000
2022-08-23 11:32:31 UTC,583,30.351802,76.370459,42.00000
2022-08-23 11:32:52 UTC,584,30.352056,76.370317,42.00000
2022-08-23 11:33:11 UTC,585,30.353015,76.370123,38.00000
2022-08-23 11:33:29 UTC,586,30.353580,76.370031,37.00000
2022-08-23 11:33:47 UTC,587,30.354128,76.369790,44.00000
2022-08-23 11:34:06 UTC,588,30.354148,76.369097,38.00000
2022-08-23 11:34:29 UTC,589,30.353993,76.368080,38.00000
2022-08-23 11:34:50 UTC,590,30.354011,76.367829,38.00000
2022-08-23 11:35:07 UTC,591,30.353786,76.366443,38.00000
2022-08-23 11:35:24 UTC,592,30.353668,76.365542,38.00000
2022-08-23 11:35:44 UTC,593,30.353602,76.364569,38.00000
2022-08-23 11:36:03 UTC,594,30.353518,76.363470,38.00000
2022-08-23 11:36:23 UTC,595,30.353203,76.362887,38.00000
2022-08-23 11:36:40 UTC,596,30.352773,76.362812,38.00000
2022-08-23 11:36:58 UTC,597,30.352271,76.362989,38.00000
2022-08-23 11:37:20 UTC,598,30.351694,76.362821,38.00000
2022-08-23 11:37:36 UTC,599,30.351395,76.363175,38.00000
2022-08-23 11:37:53 UTC,600,30.351386,76.363207,38.00000
2022-08-23 11:38:10 UTC,601,30.351384,76.363190,23.00000
2022-08-23 11:38:30 UTC,602,30.351236,76.362821,31.00000
2022-08-23 11:38:48 UTC,603,30.351217,76.362712,31.00000
2022-08-23 11:44:06 UTC,604,30.351240,76.362714,42.00000
2022-08-23 11:44:48 UTC,605,30.351053,76.364109,37.00000
2022-08-23 11:45:11 UTC,606,30.351198,76.365368,37.00000
2022-08-23 11:45:29 UTC,607,30.351276,76.366189,37.00000
2022-08-23 11:45:44 UTC,608,30.351341,76.366772,37.00000
2022-08-23 11:46:03 UTC,609,30.351485,76.367684,43.00000
2022-08-23 11:46:21 UTC,610,30.351527,76.367955,44.00000
2022-08-23 11:46:45 UTC,611,30.351717,76.369566,37.00000
2022-08-23 11:47:06 UTC,612,30.351811,76.370332,37.00000
2022-08-23 11:47:22 UTC,613,30.351873,76.370896,43.00000
2022-08-23 11:47:55 UTC,614,30.352068,76.372496,42.00000
2022-08-23 11:48:13 UTC,615,30.351949,76.372581,46.00000
2022-08-23 11:48:34 UTC,616,30.351758,76.371831,42.00000
2022-08-23 11:49:00 UTC,617,30.351672,76.370953,33.00000
2022-08-23 11:49:18 UTC,618,30.351632,76.370407,42.00000
2022-08-23 11:49:35 UTC,619,30.351527,76.369567,43.00000
2022-08-23 11:49:51 UTC,620,30.351439,76.369062,35.00000
2022-08-23 11:50:09 UTC,621,30.351372,76.368332,43.00000
2022-08-23 11:50:26 UTC,622,30.351295,76.367474,36.00000
2022-08-23 11:50:46 UTC,623,30.351196,76.366615,37.00000
2022-08-23 11:51:06 UTC,624,30.351113,76.365782,36.00000
